,state,year,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal
415,MS,2008,8210,44947,103.5,73.9,13.5,182.6,9810,62960
416,MS,2009,7640,42901,98.8,70.8,12.6,178.0,9340,59880
417,MS,2010,7070,40036,92.4,66.3,11.7,176.6,8710,55820
418,MS,2011,6700,39860,91.5,66.0,11.1,168.0,8640,55200
419,MS,2012,6280,38669,88.5,64.2,10.4,162.4,8360,53310
420,MS,2013,5860,38634,87.6,64.1,9.7,151.6,8310,52800
421,MS,2014,5540,38736,87.5,64.4,9.2,143.1,8300,52580
422,MS,2015,5300,38394,86.6,64.1,8.8,138.1,8210,51900
423,MS,2016,5100,37928,85.8,63.7,8.6,134.5,8100,51120
424,MS,2017,4930,37357,84.8,63.1,8.3,131.9,7960,50250
425,MO,1988,23940,76492,101.1,65.5,20.5,313.0,17690,118120
426,MO,1992,19870,76301,96.6,65.0,16.9,260.4,17250,113420
427,MO,1996,16050,73832,88.4,61.4,13.4,217.4,16370,106250
428,MO,2000,17410,76463,91.9,63.4,14.4,227.7,17030,110910
429,MO,2005,14900,78618,92.8,65.9,12.5,189.5,17210,110730
430,MO,2006,15070,81385,95.8,68.3,12.6,185.2,17780,114240
431,MO,2007,15250,81930,96.8,68.9,12.8,186.1,17910,115090
432,MO,2008,15160,80963,96.1,68.4,12.8,187.3,17710,113840
433,MO,2009,13550,78905,92.9,66.9,11.5,171.7,17140,109590
434,MO,2010,11930,76759,89.4,65.2,10.1,155.4,16540,105230
435,MO,2011,11510,76117,88.5,64.8,9.8,151.2,16370,104000
436,MO,2012,11080,75446,87.5,64.3,9.4,146.8,16200,102720
437,MO,2013,10610,75296,86.9,64.2,9.0,140.9,16120,102030
438,MO,2014,9180,75360,85.7,64.3,7.8,121.9,15990,100530
439,MO,2015,9640,75061,85.9,64.0,8.2,128.4,15980,100680
440,MO,2016,10100,74705,86.2,63.9,8.6,135.1,15950,100750
441,MO,2017,9690,73034,84.0,62.4,8.3,132.7,15580,98310
442,MT,1988,2350,11692,93.3,65.7,13.2,201.0,2570,16620
443,MT,1992,2810,11472,94.0,64.0,15.7,244.9,2580,16860
444,MT,1996,2430,10856,82.6,57.1,12.8,223.8,2410,15700
445,MT,2000,2220,10957,84.1,59.1,12.0,202.6,2410,15590
446,MT,2005,2020,11583,89.1,64.0,11.2,174.4,2520,16120
447,MT,2006,2070,12508,95.6,69.2,11.4,165.1,2710,17280
448,MT,2007,2110,12439,95.3,68.7,11.7,169.6,2700,17250
449,MT,2008,2040,12594,95.9,69.6,11.3,162.3,2720,17360
450,MT,2009,2000,12257,94.0,68.1,11.1,163.3,2650,16910
451,MT,2010,1980,12060,92.5,67.0,11.0,163.9,2610,16650
452,MT,2011,1990,12069,92.1,66.7,11.0,165.1,2610,16670
453,MT,2012,1820,12118,90.9,66.6,10.0,150.6,2610,16550
454,MT,2013,1660,12377,90.6,67.2,9.0,133.9,2640,16680
455,MT,2014,1520,12432,89.5,67.1,8.2,121.9,2640,16590
456,MT,2015,1530,12583,90.0,67.5,8.2,121.2,2670,16780
457,MT,2016,1540,12282,87.2,65.2,8.2,125.1,2610,16430
458,MT,2017,1510,11799,82.7,61.7,7.9,128.0,2510,15820
459,NE,1988,5490,23907,98.1,67.6,15.5,229.6,5330,34730
460,NE,1992,4950,23397,93.6,65.3,13.8,211.6,5170,33520
461,NE,1996,3930,23286,87.9,63.4,10.7,168.8,5050,32270
462,NE,2000,3920,24646,92.8,67.5,10.7,159.1,5320,33890
463,NE,2005,2990,26145,96.9,73.1,8.4,114.4,5530,34660
464,NE,2006,2690,26727,98.4,75.1,7.6,100.7,5610,35030
465,NE,2007,2500,26934,98.9,76.0,7.1,92.8,5640,35070
466,NE,2008,2850,26989,100.4,76.3,8.1,105.5,5680,35520
467,NE,2009,2630,26936,99.5,76.1,7.4,97.5,5650,35210
468,NE,2010,2410,25918,95.0,72.9,6.8,92.9,5420,33750
469,NE,2011,2550,25720,94.3,72.1,7.1,99.2,5400,33670
470,NE,2012,2510,25942,94.5,72.3,7.0,96.7,5440,33890
471,NE,2013,2440,26095,94.2,72.3,6.8,93.7,5460,34000
472,NE,2014,2360,26794,95.7,73.8,6.5,87.9,5590,34740
473,NE,2015,2260,26679,94.6,73.1,6.2,84.7,5560,34500
474,NE,2016,2170,26589,93.3,72.4,5.9,81.5,5530,34290
475,NE,2017,2250,25821,90.6,69.9,6.1,87.2,5390,33460
476,NV,1988,9450,18008,126.1,71.0,37.2,524.8,4550,32000
477,NV,1992,12400,22374,131.9,72.9,40.4,554.2,5710,40490
478,NV,1996,14080,26125,127.8,71.3,38.4,538.9,6630,46840
479,NV,2000,12880,30829,119.6,72.1,30.1,417.8,7450,51160
480,NV,2005,12990,37268,117.0,73.9,25.8,348.6,8750,59010
481,NV,2006,13320,40027,119.8,76.5,25.5,332.7,9340,62680
482,NV,2007,13630,41181,119.5,76.4,25.3,331.0,9600,64410
483,NV,2008,13020,39506,112.6,72.1,23.8,329.6,9200,61730
484,NV,2009,12790,37612,107.7,68.4,23.3,340.2,8800,59210
485,NV,2010,12570,35934,103.6,65.4,22.9,349.7,8440,56940
486,NV,2011,11960,35296,101.3,64.4,21.8,338.9,8260,55510
487,NV,2012,10750,34911,97.4,63.3,19.5,308.1,8060,53720
488,NV,2013,9550,35030,94.7,63.1,17.2,272.6,7960,52540
489,NV,2014,10840,35861,98.0,64.0,19.3,302.2,8260,54960
490,NV,2015,10150,36298,96.5,64.0,17.9,279.6,8270,54720
491,NV,2016,9460,36260,94.0,63.2,16.5,260.9,8200,53920
492,NV,2017,9620,35756,91.9,61.5,16.5,269.1,8110,53490
493,NH,1988,5940,17364,101.1,64.1,21.9,342.1,4070,27370
494,NH,1992,4490,15990,90.6,60.1,16.9,280.8,3650,24130
495,NH,1996,4670,14520,84.4,54.3,17.5,321.6,3370,22560
496,NH,2000,4020,14609,81.5,54.2,14.9,275.2,3320,21950
497,NH,2005,3060,14420,77.5,54.1,11.5,212.2,3190,20670
498,NH,2006,3030,14378,77.9,54.4,11.4,210.4,3180,20580
499,NH,2007,2990,14168,77.7,54.3,11.5,211.0,3130,20290
500,NH,2008,2860,13683,76.0,53.2,11.1,208.8,3020,19560
501,NH,2009,2840,13377,75.8,52.8,11.2,212.7,2960,19180
502,NH,2010,2830,12874,74.4,51.6,11.4,220.2,2860,18570
503,NH,2011,2880,12851,74.9,51.8,11.6,223.7,2860,18580
504,NH,2012,2610,12352,71.8,50.1,10.6,211.2,2730,17690
505,NH,2013,2340,12396,71.2,50.6,9.6,189.0,2710,17450
506,NH,2014,2530,12302,71.7,50.3,10.3,205.8,2710,17550
507,NH,2015,2480,12433,72.5,51.1,10.2,199.1,2730,17640
508,NH,2016,2410,12267,71.5,50.5,9.9,196.3,2690,17370
509,NH,2017,2330,12116,70.2,49.7,9.6,192.7,2660,17110
510,NJ,1988,66300,117764,116.4,64.0,36.0,563.0,30180,214250
511,NJ,1992,58420,119909,114.5,66.0,32.1,487.2,29820,208150
512,NJ,1996,64230,114306,114.5,63.0,35.4,561.9,29280,207820
513,NJ,2000,66110,115632,116.5,63.7,36.4,571.7,29740,211480
514,NJ,2005,60330,113776,113.6,63.7,33.8,530.3,28790,202890
515,NJ,2006,58030,115020,113.7,64.8,32.7,504.6,28810,201860
516,NJ,2007,55740,116063,113.8,65.9,31.6,480.3,28790,200590
517,NJ,2008,54730,112710,111.5,64.3,31.2,485.6,28020,195460
518,NJ,2009,51930,110331,108.7,63.3,29.8,470.7,27260,189520
519,NJ,2010,49130,106922,105.0,61.6,28.3,459.5,26300,182350
520,NJ,2011,46670,105883,103.3,61.3,27.0,440.8,25840,178390
521,NJ,2012,44680,104230,101.4,60.7,26.0,428.7,25310,174220
522,NJ,2013,43340,102575,99.9,60.0,25.4,422.5,24850,170760
523,NJ,2014,43990,103305,101.4,60.8,25.9,425.8,25060,172360
524,NJ,2015,45680,103127,103.0,61.0,27.0,443.0,25190,174000
525,NJ,2016,47370,102647,104.3,61.1,28.2,461.5,25270,175290
526,NJ,2017,47010,101250,103.2,60.3,28.0,464.3,24950,173210
527,NM,1988,8180,27015,118.3,77.1,23.4,302.8,6220,41420
528,NM,1992,7780,27922,115.5,76.6,21.4,278.6,6360,42060
529,NM,1996,6560,27228,102.0,69.6,16.8,240.9,6100,39890
530,NM,2000,6890,27223,102.9,69.6,17.6,253.1,6130,40250
531,NM,2005,6690,28835,106.2,73.0,16.9,232.0,6440,41960
532,NM,2006,7020,29936,110.1,75.5,17.7,234.5,6690,43650
533,NM,2007,7350,30616,112.7,77.0,18.5,240.1,6860,44820
534,NM,2008,6730,30173,110.0,76.1,17.0,223.1,6710,43610
535,NM,2009,6420,29000,105.4,73.0,16.2,221.4,6440,41860
536,NM,2010,6110,27850,100.5,69.7,15.3,219.4,6180,40140
537,NM,2011,5520,27289,96.7,67.9,13.8,202.4,6010,38820
538,NM,2012,4860,27068,94.1,67.3,12.1,179.4,5900,37820
539,NM,2013,4190,26354,90.1,65.5,10.4,158.9,5690,36230
540,NM,2014,4030,26052,89.2,65.1,10.1,154.6,5610,35690
541,NM,2015,4120,25816,89.0,64.7,10.3,159.5,5570,35510
542,NM,2016,4210,24692,86.0,62.0,10.6,170.3,5360,34260
543,NM,2017,3830,23767,82.4,59.8,9.6,161.1,5140,32730
544,NY,1988,179830,280650,123.5,64.8,41.5,640.8,74110,534590
545,NY,1992,191100,287887,129.8,67.2,44.6,663.8,76690,555670
546,NY,1996,164080,263963,117.5,62.4,38.8,621.6,69200,497240
547,NY,2000,161160,258737,115.8,61.4,38.3,622.9,67860,487760
548,NY,2005,152340,246351,112.6,59.9,37.0,618.4,64500,463200
549,NY,2006,148030,250104,113.3,61.2,36.2,591.9,64820,462950
550,NY,2007,144390,253451,113.8,62.3,35.5,569.7,65130,462970
551,NY,2008,149070,250383,114.3,61.6,36.7,595.4,64980,464440
552,NY,2009,144390,248110,112.6,61.2,35.6,581.9,64060,456560
553,NY,2010,139700,244375,110.5,60.4,34.5,571.7,62850,446920
554,NY,2011,136280,241312,108.7,59.7,33.7,564.8,61890,439490
555,NY,2012,126630,240916,106.1,59.7,31.4,525.6,60850,428390
556,NY,2013,116970,236980,102.6,58.9,29.1,493.6,59090,413040
557,NY,2014,117580,238773,103.8,59.6,29.3,492.4,59510,415870
558,NY,2015,113350,237274,102.9,59.6,28.5,477.7,58790,409410
559,NY,2016,108350,234283,101.4,59.3,27.4,462.5,57690,400330
560,NY,2017,103060,229737,99.2,58.6,26.3,448.6,56250,389050
561,NC,1988,38120,97579,101.0,62.0,24.2,390.7,23330,159030
562,NC,1992,34000,103967,99.5,63.8,20.9,327.0,24190,162160
563,NC,1996,31070,104470,92.6,60.7,18.0,297.4,24000,159540
564,NC,2000,33620,120311,101.6,67.4,18.8,279.4,27420,181360
565,NC,2005,29730,123096,97.6,66.6,16.1,241.5,27590,180420
566,NC,2006,29970,127859,99.3,68.1,16.0,234.4,28570,186400
567,NC,2007,30220,131037,99.7,68.6,15.8,230.6,29230,190490
568,NC,2008,29000,130839,97.7,67.7,15.0,221.7,29070,188910
569,NC,2009,28340,126845,94.2,65.1,14.6,223.4,28200,183390
570,NC,2010,27670,122350,90.8,62.7,14.2,226.2,27240,177260
571,NC,2011,25080,120389,87.9,61.5,12.8,208.3,26590,172050
572,NC,2012,25960,119831,87.7,61.0,13.2,216.7,26560,172360
573,NC,2013,26850,119002,87.2,60.2,13.6,225.6,26490,172340
574,NC,2014,26410,120975,87.9,61.0,13.3,218.3,26840,174230
575,NC,2015,24870,120843,86.6,60.7,12.5,205.8,26660,172360
576,NC,2016,23320,120779,85.0,60.2,11.6,193.0,26490,170580
577,NC,2017,25060,120125,85.0,59.5,12.4,208.6,26530,171720
578,ND,1988,1510,10103,95.3,69.8,10.4,149.5,2170,13780
579,ND,1992,1190,8811,85.5,63.4,8.6,135.1,1880,11880
580,ND,1996,1050,8347,79.3,59.2,7.4,125.8,1770,11170
581,ND,2000,940,7676,75.8,56.8,7.0,122.5,1630,10250
582,ND,2005,890,8390,85.3,64.8,6.9,106.1,1770,11050
583,ND,2006,900,8621,88.1,67.0,7.0,104.2,1810,11330
584,ND,2007,910,8840,90.6,69.0,7.1,102.9,1860,11610
585,ND,2008,1010,8938,92.7,70.0,7.9,112.9,1890,11840
586,ND,2009,1000,9001,92.6,70.1,7.8,110.8,1900,11900
587,ND,2010,980,9104,92.6,70.3,7.6,107.8,1920,12000
588,ND,2011,940,9527,94.6,72.3,7.1,98.3,2000,12460
589,ND,2012,920,10106,97.1,74.7,6.8,90.6,2110,13130
590,ND,2013,900,10599,97.7,75.6,6.4,85.0,2210,13710
591,ND,2014,1020,11359,102.9,79.3,7.1,89.4,2370,14750
592,ND,2015,990,11314,99.9,77.0,6.7,87.5,2360,14670
593,ND,2016,960,11383,100.5,77.7,6.6,84.7,2370,14720
594,ND,2017,970,10737,95.3,73.3,6.6,90.6,2240,13950
595,OH,1988,50780,160529,97.9,63.3,20.0,316.3,37180,248490
596,OH,1992,46190,162247,96.8,64.0,18.2,284.7,37070,245510
597,OH,1996,41320,151692,90.5,60.4,16.4,272.4,34470,227480
598,OH,2000,38090,155472,93.6,63.7,15.6,245.0,34900,228470
599,OH,2005,33140,148388,91.8,63.5,14.2,223.3,32990,214520
600,OH,2006,32880,150593,93.7,65.1,14.2,218.3,33410,216880
601,OH,2007,32620,150879,94.6,65.8,14.2,216.2,33440,216940
602,OH,2008,32370,148821,94.2,65.5,14.2,217.5,33000,214190
603,OH,2009,30760,144841,92.2,64.3,13.7,212.3,32040,207640
604,OH,2010,29140,139128,89.1,62.3,13.0,209.4,30740,199010
605,OH,2011,27930,137918,88.2,62.0,12.6,202.5,30380,196220
606,OH,2012,26200,138483,88.1,62.5,11.8,189.2,30320,195000
607,OH,2013,24470,138936,87.4,62.7,11.0,176.1,30230,193640
608,OH,2014,23220,139467,87.2,63.0,10.5,166.5,30210,192900
609,OH,2015,21980,139264,86.6,63.1,10.0,157.8,30050,191290
610,OH,2016,20790,138085,85.6,62.7,9.4,150.5,29700,188570
611,OH,2017,20560,136832,84.7,62.0,9.3,150.3,29420,186820
612,OK,1988,12240,47408,98.7,66.5,17.2,258.2,10710,70350
613,OK,1992,9080,47557,94.0,66.7,12.7,190.9,10420,67060
614,OK,1996,8490,46193,89.2,63.6,11.7,183.8,10090,64770
615,OK,2000,7780,49782,93.0,67.8,10.6,156.3,10730,68300
616,OK,2005,7420,51801,97.3,71.7,10.3,143.2,11100,70320
617,OK,2006,7450,54016,100.7,74.5,10.3,138.0,11550,73020
618,OK,2007,7480,55065,102.1,75.7,10.3,135.8,11760,74310
619,OK,2008,7500,54781,101.5,75.2,10.3,136.9,11710,73990
620,OK,2009,7060,54553,99.9,74.4,9.6,129.5,11620,73230
621,OK,2010,6510,53238,96.2,72.1,8.8,122.3,11300,71050
622,OK,2011,5910,52272,93.0,70.2,7.9,113.0,11040,69220
623,OK,2012,5830,52751,92.9,70.3,7.8,110.6,11130,69720
624,OK,2013,5760,53369,92.9,70.4,7.6,108.0,11250,70380
625,OK,2014,5210,53339,91.5,70.0,6.8,97.7,11190,69740
626,OK,2015,4800,53122,89.8,69.1,6.3,90.4,11100,69030
627,OK,2016,4550,52592,88.5,68.3,5.9,86.5,10970,68110
628,OK,2017,4780,50214,85.2,65.3,6.2,95.2,10520,65520
629,OR,1988,14850,40052,101.3,63.0,23.4,370.8,9500,64400
630,OR,1992,14620,42035,98.9,62.5,21.7,347.8,9870,66520
631,OR,1996,13540,43658,94.4,61.2,19.0,310.1,10090,67280
632,OR,2000,15270,45804,99.3,63.4,21.1,333.4,10690,71760
633,OR,2005,11900,45922,93.4,62.9,16.3,259.1,10370,68200
634,OR,2006,12150,48689,97.4,66.0,16.5,249.6,10950,71800
635,OR,2007,12410,49378,98.0,66.4,16.7,251.3,11120,72900
636,OR,2008,11800,49096,96.0,65.5,15.7,240.3,11000,71890
637,OR,2009,11020,47132,91.2,62.6,14.6,233.8,10530,68680
638,OR,2010,10250,45540,87.3,60.3,13.6,225.0,10130,65920
639,OR,2011,10020,45155,85.6,59.3,13.2,222.0,10030,65210
640,OR,2012,9310,45067,84.0,58.8,12.2,206.6,9940,64320
641,OR,2013,8600,45155,82.8,58.7,11.2,190.5,9890,63650
642,OR,2014,8760,45556,82.9,58.8,11.3,192.2,9990,64300
643,OR,2015,8950,45655,82.5,58.3,11.4,196.0,10030,64630
644,OR,2016,9140,45535,80.8,56.9,11.4,200.8,10020,64700
645,OR,2017,8950,43631,76.6,53.8,11.0,205.0,9620,62200
646,PA,1988,53050,165639,95.2,61.3,19.6,320.3,38430,257120
647,PA,1992,50720,164625,94.5,61.4,18.9,308.1,38000,253340
648,PA,1996,42080,148338,85.0,56.2,15.9,283.7,33880,224290
649,PA,2000,39670,146281,85.7,57.2,15.5,271.2,33220,219170
650,PA,2005,38110,145383,87.1,58.5,15.3,262.1,32890,216380
651,PA,2006,39770,149090,89.9,60.2,16.1,266.8,33800,222660
652,PA,2007,42550,150713,92.2,61.0,17.2,282.3,34400,227660
653,PA,2008,46670,149273,93.7,60.7,19.0,312.7,34520,230470
654,PA,2009,44820,146434,91.8,59.7,18.3,306.1,33770,225030
655,PA,2010,42250,143321,89.5,58.7,17.3,294.8,32890,218460
656,PA,2011,39200,143178,88.2,58.8,16.1,273.8,32560,214930
657,PA,2012,36560,142514,87.0,58.7,15.1,256.5,32160,211230
658,PA,2013,34580,140921,85.7,58.3,14.3,245.4,31640,207150
659,PA,2014,34230,142268,86.5,59.1,14.2,240.6,31880,208380
660,PA,2015,34550,141047,86.6,58.9,14.4,245.0,31660,207270
661,PA,2016,34870,139409,86.4,58.5,14.6,250.2,31370,205650
662,PA,2017,33910,137745,85.2,57.9,14.3,246.2,30940,202590
663,RI,1988,5800,14224,98.0,59.4,24.2,407.8,3420,23450
664,RI,1992,5830,14500,100.6,61.2,24.6,402.1,3480,23810
665,RI,1996,5290,12652,90.4,54.5,22.8,418.1,3060,21000
666,RI,2000,4900,12505,87.7,53.8,21.1,391.8,2990,20400
667,RI,2005,4680,12697,89.3,55.6,20.5,368.6,3010,20380
668,RI,2006,4550,12372,88.2,55.0,20.2,367.8,2930,19850
669,RI,2007,4420,12376,89.0,55.9,20.0,357.1,2920,19710
670,RI,2008,4340,12048,88.0,55.1,19.9,360.4,2840,19230
671,RI,2009,4100,11442,84.2,52.8,18.9,358.1,2700,18240
672,RI,2010,3850,11177,82.3,52.1,18.0,344.7,2620,17650
673,RI,2011,3690,10960,80.8,51.4,17.3,337.1,2560,17220
674,RI,2012,3410,10926,79.6,51.5,16.1,312.2,2530,16860
675,RI,2013,3130,10809,77.8,51.3,14.8,289.4,2470,16410
676,RI,2014,3220,10823,78.6,51.5,15.3,297.4,2490,16530
677,RI,2015,3290,10993,80.4,52.6,15.7,299.2,2530,16810
678,RI,2016,3340,10798,79.8,51.8,16.0,308.9,2490,16630
679,RI,2017,3280,10638,78.9,51.3,15.8,308.5,2460,16380
680,SC,1988,16440,55114,101.5,66.4,19.8,298.3,12670,84220
681,SC,1992,14410,56192,96.9,65.4,16.8,256.4,12680,83280
682,SC,1996,12450,51117,86.2,58.7,14.3,243.6,11470,75040
683,SC,2000,12120,56114,91.1,63.4,13.7,216.0,12430,80670
684,SC,2005,13320,57711,93.5,64.3,14.9,230.8,12870,83910
685,SC,2006,13590,62171,98.8,68.6,15.0,218.6,13790,89550
686,SC,2007,13750,62875,98.9,68.7,15.0,218.7,13950,90580
687,SC,2008,13200,63071,97.5,68.2,14.3,209.3,13930,90210
688,SC,2009,13050,60620,93.8,65.3,14.1,215.3,13430,87100
689,SC,2010,12900,58342,90.7,62.8,13.9,221.2,12960,84210
690,SC,2011,11580,57393,87.9,61.8,12.5,201.7,12640,81600
691,SC,2012,11440,57155,87.2,61.4,12.3,200.1,12570,81170
692,SC,2013,11300,56795,86.1,60.7,12.1,198.9,12490,80580
693,SC,2014,10940,57627,86.1,61.1,11.6,189.9,12620,81190
694,SC,2015,10930,58139,86.0,61.1,11.5,188.0,12720,81790
695,SC,2016,10920,57342,84.3,59.8,11.4,190.4,12560,80820
696,SC,2017,11380,57029,83.8,59.0,11.8,199.6,12540,80960
697,SD,1988,1420,11194,99.4,74.2,9.4,126.9,2380,14990
698,SD,1992,1340,11018,96.9,72.7,8.8,121.6,2340,14700
699,SD,1996,1200,10473,87.0,65.6,7.5,114.6,2210,13890
700,SD,2000,1020,10345,85.8,65.6,6.5,98.6,2170,13540
701,SD,2005,980,11462,96.6,74.7,6.4,85.5,2390,14830
702,SD,2006,970,11919,100.8,78.2,6.4,81.4,2480,15370
703,SD,2007,960,12261,103.5,80.5,6.3,78.3,2550,15770
704,SD,2008,970,12071,102.4,79.5,6.4,80.6,2510,15560
705,SD,2009,900,11934,100.9,78.6,6.0,75.7,2480,15320
706,SD,2010,840,11811,98.9,77.4,5.5,70.7,2450,15090
707,SD,2011,850,11846,98.7,77.2,5.5,71.3,2450,15140
708,SD,2012,840,12104,99.7,78.1,5.4,69.2,2500,15450
709,SD,2013,830,12248,99.9,78.4,5.3,67.4,2530,15610
710,SD,2014,810,12283,99.6,78.3,5.2,65.8,2540,15630
711,SD,2015,770,12336,99.7,78.6,4.9,62.4,2540,15650
712,SD,2016,730,12275,98.1,77.5,4.6,59.5,2530,15530
713,SD,2017,750,12134,96.0,75.7,4.7,61.6,2500,15380
714,TN,1988,20060,70711,92.7,61.3,17.4,283.7,16150,106920
715,TN,1992,19110,73614,92.6,62.3,16.2,259.6,16630,109360
716,TN,1996,16690,73754,86.6,59.7,13.5,226.3,16420,106860
717,TN,2000,17270,79611,91.5,63.6,13.8,216.9,17650,114530
718,TN,2005,15520,81747,91.8,65.2,12.4,189.9,17900,115170
719,TN,2006,15550,84355,93.6,66.7,12.3,184.4,18430,118330
720,TN,2007,15590,86711,95.3,68.2,12.3,179.8,18900,121200
721,TN,2008,16210,85560,94.5,67.1,12.7,189.5,18730,120500
722,TN,2009,15290,82211,90.6,64.5,12.0,186.0,17970,115470
723,TN,2010,14370,79495,87.3,62.4,11.3,180.8,17340,111200
724,TN,2011,13670,79588,86.6,62.3,10.7,171.7,17280,110540
725,TN,2012,13210,80371,86.4,62.6,10.3,164.4,17400,110980
726,TN,2013,12760,79992,85.4,62.1,9.9,159.5,17270,110020
727,TN,2014,12300,81602,86.2,63.1,9.5,150.8,17550,111460
728,TN,2015,11770,81685,85.6,63.0,9.1,144.1,17510,110970
729,TN,2016,11230,80807,84.0,62.1,8.6,139.0,17280,109320
730,TN,2017,11060,81016,83.5,61.8,8.4,136.5,17310,109390
731,TX,1988,97450,303418,116.8,75.2,24.2,321.2,70430,471300
732,TX,1992,94590,320845,115.8,76.0,22.4,294.8,73630,489060
733,TX,1996,88250,330406,109.5,73.3,19.6,267.1,74910,493560
734,TX,2000,87110,363414,111.8,76.4,18.3,239.7,81390,531920
735,TX,2005,84560,385915,111.5,77.4,17.0,219.1,85640,556110
736,TX,2006,82540,399603,112.3,78.7,16.3,206.5,88170,570310
737,TX,2007,80510,407625,112.3,79.2,15.6,197.5,89580,577710
738,TX,2008,82690,405554,110.9,77.8,15.9,203.9,89380,577620
739,TX,2009,81060,401977,108.2,76.1,15.4,201.7,88500,571540
740,TX,2010,78130,386118,102.8,72.3,14.6,202.3,85040,549280
741,TX,2011,72140,377445,98.3,69.7,13.3,191.1,82700,532280
742,TX,2012,69520,382727,97.4,69.6,12.6,181.7,83500,535750
743,TX,2013,66910,387340,96.6,69.5,12.0,172.7,84160,538410
744,TX,2014,56400,399766,95.6,70.5,10.0,141.1,85590,541760
745,TX,2015,55690,403618,94.7,70.1,9.7,138.0,86290,545600
746,TX,2016,55100,398047,92.2,68.2,9.4,138.4,85120,538270
747,TX,2017,56340,382050,88.2,64.7,9.5,147.5,82040,520440
748,US,1973,744610,3136965,100.6,68.9,16.3,237.4,701850,4583430
749,US,1974,898570,3159958,102.7,67.9,19.3,284.4,721850,4780380
750,US,1975,1034170,3144198,103.2,66.0,21.7,328.9,732260,4910620
751,US,1976,1179300,3167788,104.6,65.0,24.2,372.3,751490,5098580
752,US,1977,1316700,3326632,109.1,66.7,26.4,395.8,797000,5440330
753,US,1978,1409600,3333279,108.9,65.4,27.7,422.9,807620,5550500
754,US,1979,1497670,3494398,112.2,67.1,28.8,428.6,848650,5840710
755,US,1980,1553890,3612258,113.9,68.1,29.3,430.2,877840,6043990
756,US,1981,1577340,3629238,112.9,67.3,29.3,434.6,883580,6090160
757,US,1982,1573920,3680537,112.4,67.3,28.8,427.6,893500,6147960
758,US,1983,1575000,3638933,110.2,65.7,28.5,432.8,885290,6099220
759,US,1984,1577180,3669141,109.5,65.5,28.1,429.8,891550,6137870
760,US,1985,1588550,3760561,110.4,66.3,28.0,422.4,910970,6260080
761,US,1986,1574000,3756547,108.6,65.4,27.4,419.0,908710,6239260
762,US,1987,1559110,3809394,108.6,65.8,26.9,409.3,917790,6286290
763,US,1988,1590750,3909510,110.8,67.3,27.4,406.9,940980,6441240
764,US,1989,1566870,4040958,112.6,69.2,26.8,387.7,964880,6572710
765,US,1990,1608620,4158212,115.0,70.8,27.4,386.9,992500,6759340
766,US,1991,1556510,4110907,112.1,69.3,26.2,378.6,977830,6645250
767,US,1992,1528930,4065014,110.4,68.4,25.7,376.1,965900,6559840
768,US,1993,1495000,4000240,107.9,67.0,25.0,373.7,949550,6444790
769,US,1994,1423000,3952767,105.1,65.9,23.7,360.0,932850,6308620
770,US,1995,1359440,3899589,102.3,64.6,22.5,348.6,915860,6174890
771,US,1996,1360160,3891494,101.6,64.1,22.4,349.5,914310,6165970
772,US,1997,1335000,3880894,100.4,63.6,21.9,344.0,909680,6125570
773,US,1998,1319000,3941553,100.8,64.3,21.5,334.6,920210,6180760
774,US,1999,1314790,3959417,100.8,64.4,21.4,332.1,923360,6197570
775,US,2000,1312990,4058814,102.4,65.8,21.3,323.5,943060,6314870
776,US,2001,1291000,4025933,101.2,65.1,20.9,320.7,934290,6251220
777,US,2002,1269000,4021726,100.6,65.0,20.5,315.5,931250,6221970
778,US,2003,1250000,4089950,101.5,66.1,20.2,305.6,942990,6282940
779,US,2004,1222100,4112052,101.3,66.4,19.7,297.2,944620,6278770
780,US,2005,1206200,4138349,101.4,66.7,19.4,291.5,948290,6292840
781,US,2006,1242000,4265555,104.3,68.6,20.0,291.2,977310,6484870
782,US,2007,1209640,4316233,104.5,69.3,19.4,280.3,984210,6510080
783,US,2008,1212350,4247694,103.1,68.1,19.4,285.4,970770,6430820
784,US,2009,1151600,4130665,99.8,66.2,18.5,278.8,941290,6223560
785,US,2010,1102670,3999386,96.3,64.1,17.7,275.7,910140,6012200
786,US,2011,1058490,3953590,94.4,63.2,16.9,267.7,896570,5908650
787,US,2012,1011070,3952841,93.2,62.9,16.1,255.8,891680,5855590
788,US,2013,958700,3932181,91.6,62.4,15.2,243.8,882310,5773190
789,US,2014,926190,3988076,91.8,63.1,14.6,232.2,890230,5804500
790,US,2015,899270,3978497,90.9,62.7,14.2,226.0,885630,5763400
791,US,2016,874080,3945875,89.6,62.0,13.7,221.5,876580,5696540
792,US,2017,862320,3855500,87.4,60.4,13.5,223.7,857330,5575150
793,UT,1988,4590,36055,125.3,93.5,11.9,127.3,7670,48320
794,UT,1992,3800,37200,113.8,86.7,8.9,102.2,7820,48820
795,UT,1996,3850,42087,110.3,84.8,7.8,91.5,8800,54740
796,UT,2000,3500,47353,114.7,89.6,6.6,73.9,9820,60670
797,UT,2005,3610,51556,118.5,92.8,6.5,70.0,10670,65840
798,UT,2006,3780,53504,121.1,94.8,6.7,70.6,11080,68360
